deal_id,close_date,company_name,industry,company_size,deal_value,outcome,competitor,sales_rep,sales_cycle_days,lead_source,product_tier,primary_reason,persona,use_case,pain_point,trigger_event,department_initiating
D001,2025-01-08,Apex Logistics,Logistics,500,42000,Won,Salesforce,Sarah Kim,45,Inbound,Enterprise,Better pricing,VP of Operations,Shipment tracking & visibility,Lack of real-time shipment status,Carrier SLA penalties increasing,Operations
D002,2025-01-12,Blueridge Finance,Financial Services,120,18500,Lost,HubSpot,James Patel,60,Cold Outreach,Professional,Competitor had more integrations,IT Director,CRM consolidation,Too many disconnected tools,New IT director mandate,IT
D003,2025-01-15,Cortex Health,Healthcare,800,75000,Won,Oracle,Sarah Kim,90,Referral,Enterprise,Strong implementation support,CIO,EHR data integration,Siloed clinical and operational data,Hospital network expansion,IT
D004,2025-01-20,Dune Analytics,Technology,45,9800,Won,None,Marcus Lee,22,Inbound,Starter,Ease of use,CEO,Sales pipeline management,No visibility into sales funnel,First sales hire made,Sales
D005,2025-01-25,Evergreen Retail,Retail,300,31000,Lost,Salesforce,James Patel,55,Event,Professional,Brand recognition,Director of Operations,Inventory & order management,Stockouts and overstock issues,New warehouse opened,Operations
D006,2025-02-03,Frontier Energy,Energy,1200,110000,Won,SAP,Rachel Torres,120,Partner Referral,Enterprise,Executive relationship,COO,Field operations management,Disconnected field crews and HQ,Regulatory audit failure,Operations
D007,2025-02-07,Goldspan Media,Media,90,14000,Lost,HubSpot,Marcus Lee,35,Cold Outreach,Professional,Price too high,Marketing Manager,Campaign performance tracking,No unified campaign reporting,New CMO hired,Marketing
D008,2025-02-11,Harbor Insurance,Financial Services,600,58000,Won,Salesforce,Sarah Kim,75,Inbound,Enterprise,Better reporting,CFO,Financial reporting automation,Month-end close taking 2+ weeks,CFO mandate to cut reporting cycle,Finance
D009,2025-02-14,Ironclad Manufacturing,Manufacturing,2000,145000,Lost,SAP,Rachel Torres,110,Cold Outreach,Enterprise,Incumbent advantage,IT Director,ERP modernization,Legacy ERP causing production delays,Board-mandated digital transformation,IT
D010,2025-02-19,Jade Consulting,Professional Services,60,11500,Won,None,Marcus Lee,28,Referral,Starter,Easy onboarding,CEO,Project & resource tracking,No visibility into billable hours,Lost a major client to billing disputes,Finance
D011,2025-02-24,Keystone Legal,Legal,150,22000,Won,Clio,James Patel,40,Inbound,Professional,Better compliance features,Managing Partner,Matter & compliance management,Missing compliance deadlines,Bar association audit,Legal/Compliance
